Player,Team,Salary
"Acevedo, Juan",New York Yankees,900000
"Anderson, Jason",New York Yankees,300000
"Clemens, Roger",New York Yankees,10100000
"Contreras, Jose",New York Yankees,5500000
"Hammond, Chris",New York Yankees,2200000
"Hitchcock, Sterling",New York Yankees,6000000
"Karsay, Steve",New York Yankees,5000000
"Liever, Jon",New York Yankees,550000
"Mussina, Mike",New York Yankees,12000000
"Osuna, Antonio",New York Yankees,2400000
"Pettitte, Andy",New York Yankees,11500000
"Rivera, Mariano",New York Yankees,10500000
"Weaver, Jeff",New York Yankees,4150000
"Wells, David",New York Yankees,3250000
"Appier, Kevin",Anaheim Angels,11500000
"Callaway, Mickey",Anaheim Angels,302500
"Donnelly, Brendan",Anaheim Angels,325000
"Lackey, John",Anaheim Angels,315000
"Ortiz, Ramon",Anaheim Angels,2266667
"Percival, Troy",Anaheim Angels,7833333
"Rodriquez, Francisco",Anaheim Angels,312500
"Schoeneweis, Scott",Anaheim Angels,1425000
"Sele, Aaron",Anaheim Angels,8166667
"Shields, Scot",Anaheim Angels,305000
"Washburn, Jarrod",Anaheim Angels,3875000
"Weber, Ben",Anaheim Angels,375000
"Wise, Matt",Anaheim Angels,302500
"Burkett, John",Boston Red Sox,5500000
"Embree, Alan",Boston Red Sox,3000000
"Fossum, Casey",Boston Red Sox,324500
"Fox, Chad",Boston Red Sox,500000
"Gonzalez, Dicky",Boston Red Sox,300000
"Howry, Bobby",Boston Red Sox,1700000
"Lowe, Derek",Boston Red Sox,3625000
"Lyon, Brandon",Boston Red Sox,309500
"Martinez, Pedro",Boston Red Sox,15500000
"Mendoza, Ramiro",Boston Red Sox,2900000
"Person, Robert",Boston Red Sox,300000
"Timlin, Mike",Boston Red Sox,1850000
"Wakefield, Tim",Boston Red Sox,4000000
"White, Matt",Boston Red Sox,300000
"Anderson, Brian",Cleveland Indians,1500000
"Baez, Danys",Cleveland Indians,5125000
"Bere, Jason",Cleveland Indians,1000000
"Davis, Jason",Cleveland Indians,301100
"Lee, Cliff",Cleveland Indians,300900
"Mulholland, Terry",Cleveland Indians,500000
"Myette, Aaron",Cleveland Indians,307500
"Riske, David",Cleveland Indians,314000
"Rodriguez, Ricardo",Cleveland Indians,302400
"Sabathia, CC",Cleveland Indians,1100000
"Sadler, Carl",Cleveland Indians,303200
"Santiago, Jose",Cleveland Indians,600000
"Traber, Billy",Cleveland Indians,300000
"Westbrook, Jake",Cleveland Indians,305500
"Wickman, Bob",Cleveland Indians,6000000
"Wohlers, Mark",Cleveland Indians,2600000
"Creek, Doug",Toronto Blue Jays ,700000
"Escobar, Kelvim",Toronto Blue Jays ,3900000
"File, Bob",Toronto Blue Jays ,310000
"Halladay, Roy",Toronto Blue Jays ,3825000
"Hendrickson, Mark",Toronto Blue Jays ,302000
"Lidle, Cory",Toronto Blue Jays ,5350000
